Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
562	488	35.624	39.505	32.082	41.911	41.174	30.978	23670.637	996.699	124.110	1048.528	117.953	0.902	0.850	0.722	0.752	0.813	0.951	0.049	0.950	0.741	2.76135441096312678E18	0.287	0.000	3986.797	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.306	0.765	4194.112	1.329	0.000	0.000
455	445	32.797	38.903	32.063	35.859	34.255	31.502	18471.263	844.803	122.217	904.310	107.822	0.843	0.915	0.836	0.920	0.711	0.934	0.066	0.882	0.735	3.66210953812415539E18	0.365	0.000	3379.210	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.118	0.894	3617.240	1.087	35.366	23.887
277	349	32.846	35.429	32.054	35.592	33.936	31.841	18554.788	847.347	111.302	879.907	106.212	0.927	0.923	0.852	0.938	0.860	0.963	0.037	0.954	0.743	3.79046274703834112E18	0.265	0.000	3389.389	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.110	0.901	3519.628	1.066	0.000	0.000
79	238	34.192	41.760	31.982	40.010	38.485	30.688	20930.659	918.219	131.193	1012.944	115.758	0.819	0.855	0.730	0.797	0.670	0.906	0.094	0.882	0.718	3.78623229001667584E18	0.328	0.000	3672.874	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.251	0.799	4051.776	1.254	42.395	21.659
40	214	33.201	36.757	31.578	38.575	35.901	30.786	19162.139	865.739	115.476	915.354	109.373	0.903	0.861	0.741	0.858	0.816	0.946	0.054	0.947	0.711	2.77936929883283712E18	0.309	0.000	3462.955	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.222	0.819	3661.414	1.166	0.000	0.000
634	532	40.769	46.596	31.499	52.853	53.257	31.275	35481.113	1305.436	146.386	1368.554	138.279	0.875	0.771	0.595	0.587	0.766	0.954	0.046	0.945	0.784	3.64606546445168077E18	0.314	0.000	5221.744	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.678	0.596	5474.216	1.703	0.000	0.000
330	372	43.612	53.845	31.496	59.917	60.319	32.137	43433.904	1493.861	169.160	1600.329	153.837	0.810	0.728	0.530	0.533	0.656	0.933	0.067	0.909	0.792	2.63556038405326746E18	0.272	0.000	5975.442	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.902	0.526	6401.315	1.877	56.807	26.297
66	233	31.079	34.711	31.486	32.956	31.433	30.764	15717.893	758.613	109.049	800.817	101.438	0.895	0.943	0.889	0.979	0.802	0.947	0.053	0.930	0.731	2.77936991017803674E18	0.337	0.000	3034.452	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.047	0.955	3203.268	1.022	0.000	0.000
92	244	32.400	39.484	31.419	37.341	33.977	31.142	17809.307	824.496	124.042	894.046	109.628	0.821	0.868	0.753	0.917	0.673	0.922	0.078	0.884	0.703	3.80847650989921331E18	0.320	0.000	3297.986	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.188	0.841	3576.182	1.091	39.411	20.920
587	500	31.258	36.469	31.253	34.221	32.937	29.728	15991.170	767.381	114.571	815.498	102.599	0.857	0.913	0.834	0.903	0.735	0.941	0.059	0.896	0.718	2.65329888258754406E18	0.327	0.000	3069.523	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.095	0.913	3261.994	1.108	0.000	0.000
240	335	33.897	36.300	31.207	38.907	37.634	30.760	20393.312	902.435	114.041	930.800	111.012	0.934	0.871	0.759	0.817	0.872	0.970	0.030	0.973	0.743	2.63524971284278323E18	0.299	0.000	3609.740	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.247	0.802	3723.200	1.223	0.000	0.000
141	269	32.360	34.268	31.104	35.304	34.294	30.589	17742.861	822.444	107.656	845.893	104.309	0.944	0.917	0.840	0.892	0.892	0.972	0.028	0.969	0.749	2.63525308023139738E18	0.271	0.000	3289.778	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.135	0.881	3383.574	1.121	0.000	0.000
190	305	31.362	41.281	31.015	36.717	32.828	30.174	16151.108	772.489	129.687	872.057	106.937	0.760	0.854	0.730	0.919	0.577	0.886	0.114	0.825	0.678	3.78788974154968576E18	0.371	0.000	3089.956	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.184	0.845	3488.230	1.088	46.860	16.485
133	264	40.816	55.613	31.005	60.682	65.263	27.876	35603.308	1308.432	174.713	1573.834	154.312	0.734	0.673	0.452	0.427	0.539	0.831	0.169	0.883	0.695	3.78818001243243366E18	0.306	0.000	5233.726	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.957	0.511	6295.334	2.341	66.286	19.739
10	170	32.539	35.585	30.956	39.103	35.668	30.110	18038.910	831.568	111.793	860.303	107.757	0.914	0.832	0.692	0.844	0.836	0.967	0.033	0.964	0.687	3.95512120070388429E18	0.287	0.000	3326.271	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.263	0.792	3441.210	1.185	0.000	0.000
252	337	33.619	47.123	30.885	44.117	44.530	27.000	19895.100	887.677	148.042	1049.693	121.817	0.713	0.762	0.581	0.606	0.509	0.846	0.154	0.823	0.651	3.9345470102710912E18	0.342	0.000	3550.707	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.428	0.700	4198.772	1.649	57.113	15.543
