Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
497,93,75.271,111.108,77.917,103.662,99.352,68.668,223297.466,4449.863,349.057,5457.95,285.925,0.677,0.726,0.527,0.691,0.459,0.815,0.185,0.819,0.551,2635249229761460224,0.34,0,17799.452,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.33,0.752,21831.799,1.447,141.829,31.375,18.82,1
1148,157,81.792,109.617,77.498,115.331,101.638,74.907,286499.936,5254.206,344.373,6352.867,308.063,0.746,0.709,0.503,0.737,0.557,0.827,0.173,0.895,0.588,3950586126348199936,0.22,0,21016.825,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.488,0.672,25411.466,1.357,130.807,40.168,18.82,1
2574,372,77.578,85.572,77.028,80.767,78.027,77.238,244463.906,4726.801,268.834,4862.199,248.711,0.907,0.961,0.923,0.99,0.822,0.972,0.028,0.925,0.76,2635279948319920128,0.263,0,18907.204,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.049,0.954,19448.796,1.01,0,0,18.82,1
1981,258,77.654,81.371,76.001,81.525,79.228,76.196,245180.011,4736.027,255.634,4823.767,247.895,0.954,0.953,0.907,0.962,0.911,0.982,0.018,0.97,0.764,2761349951543649792,0.236,0,18944.109,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.073,0.932,19295.068,1.04,0,0,18.82,1
491,93,70.913,94.345,73.622,88.799,80.05,73.769,186717.428,3949.548,296.394,4677.865,260.101,0.752,0.799,0.638,0.922,0.565,0.844,0.156,0.878,0.604,3786200892715140096,0.282,0,15798.192,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.206,0.829,18711.459,1.085,111.162,35.53,18.82,1
122,65,69.788,90.019,73.186,85.989,80.36,71.258,177968.668,3825.192,282.804,4458.126,253.807,0.775,0.812,0.659,0.887,0.601,0.858,0.142,0.897,0.608,2635530705826849792,0.232,0,15300.767,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.175,0.851,17832.505,1.128,103.088,37.106,18.82,1
476,92,74.1,79.136,72.674,82.369,77.452,71.276,213037.172,4312.486,248.614,4415.21,238.918,0.936,0.9,0.809,0.92,0.877,0.977,0.023,0.961,0.72,3788452691603760128,0.222,0,17249.944,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.133,0.882,17660.839,1.087,0,0,18.82,1
2654,383,73.382,88.251,72.466,80.551,77.933,69.535,206899.043,4229.248,277.248,4454.018,239.642,0.832,0.911,0.83,0.892,0.691,0.95,0.05,0.864,0.725,2635249154578590208,0.306,0,16916.99,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.112,0.9,17816.07,1.121,89.822,47.085,18.82,1
794,116,87.442,124.718,72.24,140.486,140.772,66.044,350067.963,6005.176,391.814,7487.094,345.992,0.701,0.622,0.387,0.469,0.492,0.802,0.198,0.883,0.592,2635253621245980160,0.241,0,24020.704,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.945,0.514,29948.378,2.132,156.253,38.432,18.82,1
1092,152,72.669,75.563,72.039,75.116,73.399,71.991,200932.801,4147.547,237.389,4206.742,231.012,0.962,0.967,0.936,0.981,0.925,0.986,0.014,0.973,0.766,2635253491438530048,0.234,0,16590.189,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.043,0.959,16826.969,1.02,0,0,18.82,1
