Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
272	212	19.710	20.892	19.173	21.360	20.250	19.197	4009.330	305.121	65.635	315.592	64.086	0.943	0.923	0.852	0.948	0.890	0.967	0.033	0.976	0.745	2.6352541895433129E18	0.316	0.000	1220.484	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.114	0.898	1262.367	1.055	0.000	0.000
283	214	19.601	21.326	19.139	21.340	20.347	18.925	3943.218	301.757	66.997	318.183	64.159	0.919	0.919	0.844	0.930	0.845	0.948	0.052	0.958	0.739	2.63525851779657677E18	0.329	0.000	1207.030	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.115	0.897	1272.733	1.075	0.000	0.000
257	203	19.648	21.021	19.137	21.550	20.457	18.876	3971.327	303.190	66.039	314.526	63.888	0.935	0.912	0.831	0.923	0.874	0.964	0.036	0.967	0.735	3.80654304450126592E18	0.327	0.000	1212.759	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.126	0.888	1258.105	1.084	0.000	0.000
586	320	18.481	22.670	19.112	21.301	19.406	17.781	3304.957	268.247	71.218	308.517	63.596	0.815	0.868	0.753	0.916	0.665	0.869	0.131	0.893	0.659	3.80432538216087091E18	0.364	0.000	1072.988	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.115	0.897	1234.070	1.091	20.793	12.901
668	343	19.343	23.159	19.088	22.414	20.526	18.412	3789.343	293.855	72.758	329.859	65.748	0.835	0.863	0.745	0.897	0.698	0.891	0.109	0.904	0.687	2.65326919795470234E18	0.354	0.000	1175.421	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.174	0.852	1319.438	1.115	0.000	0.000
29	103	19.606	21.041	19.061	21.050	20.091	19.181	3946.278	301.914	66.103	314.256	63.744	0.932	0.931	0.868	0.955	0.868	0.961	0.039	0.964	0.752	2.63782326719974093E18	0.352	0.000	1207.654	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.104	0.906	1257.023	1.047	0.000	0.000
570	312	19.604	21.278	19.047	21.396	21.035	18.283	3945.083	301.853	66.846	316.745	64.385	0.921	0.916	0.840	0.869	0.849	0.953	0.047	0.963	0.741	2.63528111898800026E18	0.345	0.000	1207.410	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.123	0.890	1266.980	1.150	0.000	0.000
216	184	21.724	22.952	19.030	24.984	24.532	19.252	5368.063	370.654	72.107	381.039	70.909	0.946	0.870	0.756	0.785	0.896	0.973	0.027	0.983	0.780	2.63524922347030784E18	0.311	0.000	1482.618	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.313	0.762	1524.156	1.274	0.000	0.000
279	213	21.796	26.661	19.023	28.232	26.102	18.280	5421.585	373.114	83.757	408.710	74.653	0.818	0.772	0.596	0.700	0.668	0.913	0.087	0.891	0.695	2.63532400757508301E18	0.385	0.000	1492.457	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.484	0.674	1634.840	1.428	25.547	14.605
673	346	19.116	22.682	18.984	21.837	20.492	17.942	3657.482	286.998	71.258	316.259	64.529	0.843	0.875	0.766	0.876	0.710	0.907	0.093	0.906	0.692	3.64638219227200563E18	0.407	0.000	1147.992	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.150	0.869	1265.036	1.142	0.000	0.000
571	312	19.342	20.560	18.973	20.829	20.127	18.611	3789.054	293.840	64.592	305.455	62.977	0.941	0.929	0.862	0.925	0.885	0.962	0.038	0.975	0.744	2.63553518334947277E18	0.315	0.000	1175.361	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.098	0.911	1221.819	1.081	0.000	0.000
341	233	19.001	22.447	18.971	21.487	20.126	18.096	3591.690	283.546	70.518	308.346	64.053	0.846	0.884	0.782	0.899	0.717	0.920	0.080	0.908	0.696	3.91455905821981389E18	0.375	0.000	1134.184	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.133	0.883	1233.383	1.112	0.000	0.000
616	330	19.567	22.083	18.920	21.267	20.978	18.312	3922.367	300.693	69.377	318.589	64.226	0.886	0.920	0.846	0.873	0.785	0.944	0.056	0.926	0.747	3.66013591583004211E18	0.374	0.000	1202.771	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.124	0.890	1274.358	1.146	0.000	0.000
609	329	19.403	21.206	18.901	22.201	20.349	18.519	3824.474	295.669	66.619	310.797	63.755	0.915	0.874	0.764	0.910	0.837	0.951	0.049	0.957	0.705	2.63528889192486451E18	0.339	0.000	1182.675	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.175	0.851	1243.190	1.099	0.000	0.000
574	313	18.834	20.021	18.884	20.072	19.500	18.219	3498.024	278.595	62.899	291.223	61.303	0.941	0.938	0.880	0.934	0.885	0.957	0.043	0.975	0.735	2.6375417922214528E18	0.333	0.000	1114.378	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.063	0.941	1164.892	1.070	0.000	0.000
531	301	19.219	22.159	18.875	22.061	20.265	18.353	3717.093	290.108	69.614	316.731	64.571	0.867	0.871	0.759	0.906	0.752	0.916	0.084	0.928	0.697	2.63553181622723277E18	0.378	0.000	1160.432	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.169	0.856	1266.923	1.104	0.000	0.000
271	211	18.930	23.900	18.867	21.811	20.063	18.004	3551.577	281.431	75.083	322.317	65.006	0.792	0.868	0.753	0.897	0.627	0.873	0.127	0.866	0.684	2.6733236115563351E18	0.394	0.000	1125.723	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.156	0.865	1289.267	1.114	24.653	11.416
232	191	19.006	21.240	18.822	21.018	19.459	18.660	3594.854	283.712	66.729	306.197	63.173	0.895	0.904	0.818	0.959	0.801	0.927	0.073	0.947	0.717	3.66267365751884544E18	0.385	0.000	1134.849	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.117	0.896	1224.786	1.043	0.000	0.000
194	176	19.244	20.925	18.821	21.045	19.666	18.841	3731.478	290.856	65.737	304.245	63.081	0.920	0.914	0.836	0.958	0.846	0.956	0.044	0.960	0.734	3.79074868895127091E18	0.359	0.000	1163.424	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.118	0.894	1216.978	1.044	0.000	0.000
146	160	18.798	22.984	18.816	21.290	19.644	18.177	3477.789	277.519	72.205	310.872	63.975	0.818	0.883	0.780	0.925	0.669	0.893	0.107	0.886	0.693	3.66242688586346445E18	0.402	0.000	1110.076	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.131	0.884	1243.487	1.081	20.898	13.280
472	280	21.173	22.698	18.815	24.043	23.859	18.840	4969.602	352.078	71.309	364.336	69.449	0.933	0.881	0.775	0.790	0.870	0.966	0.034	0.974	0.778	2.6352585090721577E18	0.361	0.000	1408.311	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.278	0.783	1457.342	1.266	0.000	0.000
