Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
68	320	122.762	145.019	122.713	145.928	137.220	116.988	968709.930	11836.409	455.591	12668.265	422.270	0.847	0.841	0.708	0.853	0.717	0.934	0.066	0.927	0.661	3.64602579583118285E18	0.259	0.000	47345.635	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.189	0.841	50673.060	1.173	143.824	82.298
116	370	107.417	142.438	109.688	123.240	114.467	105.792	648958.184	9062.234	447.483	9602.987	363.794	0.754	0.872	0.760	0.924	0.569	0.944	0.056	0.813	0.670	2.65132836086724352E18	0.242	0.000	36248.937	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.124	0.890	38411.949	1.082	168.740	53.705
92	346	110.975	145.422	106.843	121.155	115.200	108.267	715615.786	9672.618	456.857	10234.174	366.184	0.763	0.916	0.839	0.940	0.582	0.945	0.055	0.802	0.747	3.66203903164269466E18	0.298	0.000	38690.474	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.134	0.882	40936.697	1.064	170.196	56.832
54	300	118.437	145.725	106.540	156.515	155.962	100.055	869892.132	11017.111	457.809	12532.360	426.281	0.813	0.757	0.573	0.642	0.661	0.879	0.121	0.931	0.661	2.65354997561722266E18	0.216	0.000	44068.445	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.469	0.681	50129.440	1.559	157.413	69.989
106	360	115.164	149.916	98.131	160.663	164.922	88.726	799748.054	10416.606	470.976	11947.252	422.864	0.768	0.717	0.514	0.538	0.590	0.872	0.128	0.898	0.661	2.63524922222635571E18	0.226	0.000	41666.426	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.637	0.611	47789.007	1.859	174.347	59.746
109	362	118.268	144.091	96.009	152.982	154.562	94.165	866167.896	10985.644	452.677	11696.080	409.823	0.821	0.773	0.598	0.609	0.674	0.939	0.061	0.905	0.748	2.76163142663963955E18	0.234	0.000	43942.574	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.593	0.628	46784.319	1.641	152.863	71.866
123	374	94.563	119.632	94.195	119.212	110.889	86.112	442750.501	7023.122	375.834	7563.795	330.070	0.790	0.793	0.629	0.777	0.625	0.929	0.071	0.878	0.625	3.91653259446672794E18	0.238	0.000	28092.487	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.266	0.790	30255.180	1.288	134.098	52.373
85	340	103.105	127.424	93.650	129.002	123.075	87.831	573905.712	8349.321	400.314	8836.583	348.316	0.809	0.799	0.639	0.714	0.655	0.945	0.055	0.870	0.691	3.93707601786527949E18	0.261	0.000	33397.283	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.377	0.726	35346.333	1.401	138.108	60.455
74	329	91.162	124.782	93.496	109.442	103.970	91.262	396680.008	6527.061	392.014	7365.848	324.922	0.731	0.833	0.694	0.878	0.534	0.886	0.114	0.829	0.638	2.77940008433206682E18	0.288	0.000	26108.244	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.171	0.854	29463.392	1.139	151.432	43.102
