Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
275	154	31.071	32.608	30.444	32.723	31.470	30.699	15705.431	758.212	102.442	775.252	99.995	0.953	0.950	0.902	0.975	0.908	0.978	0.022	0.976	0.761	2.63524971309447834E18	0.327	0.000	3032.848	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.075	0.930	3101.008	1.025	0.000	0.000
481	208	34.321	39.260	30.441	42.452	41.950	28.750	21167.544	925.134	123.338	978.745	116.580	0.874	0.808	0.654	0.685	0.764	0.945	0.055	0.945	0.716	2.63528434652140595E18	0.334	0.000	3700.535	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.395	0.717	3914.979	1.459	0.000	0.000
518	220	31.377	32.790	30.432	32.754	32.296	30.492	16174.487	773.234	103.012	792.095	100.612	0.957	0.958	0.918	0.944	0.916	0.976	0.024	0.977	0.776	2.63525411208258202E18	0.276	0.000	3092.937	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.076	0.929	3168.382	1.059	0.000	0.000
1022	437	29.705	36.531	30.395	34.258	32.112	27.612	13723.753	693.010	114.766	772.453	100.690	0.813	0.867	0.752	0.860	0.661	0.897	0.103	0.877	0.666	2.6355703667814144E18	0.375	0.000	2772.039	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.127	0.887	3089.813	1.163	37.075	18.692
806	339	30.313	33.375	30.377	32.580	30.983	29.806	14583.874	721.671	104.851	758.082	98.998	0.908	0.930	0.866	0.962	0.825	0.952	0.048	0.944	0.729	2.79541344066720819E18	0.360	0.000	2886.685	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.073	0.932	3032.327	1.039	0.000	0.000
527	223	33.340	41.425	30.351	44.591	45.643	27.413	19404.776	873.031	130.141	1008.300	121.717	0.805	0.748	0.559	0.601	0.648	0.866	0.134	0.935	0.645	3.78821086979753318E18	0.316	0.000	3492.126	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.469	0.681	4033.200	1.665	43.575	20.035
456	202	30.259	33.448	30.296	32.602	30.564	29.989	14506.873	719.129	105.079	755.689	98.472	0.905	0.928	0.861	0.981	0.818	0.952	0.048	0.937	0.728	2.76163211401955174E18	0.322	0.000	2876.515	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.076	0.929	3022.756	1.019	0.000	0.000
506	215	34.271	39.610	30.279	41.330	39.983	29.412	21076.071	922.467	124.439	981.110	114.226	0.865	0.829	0.688	0.736	0.749	0.940	0.060	0.918	0.737	2.6352541882176128E18	0.336	0.000	3689.866	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.365	0.733	3924.442	1.359	0.000	0.000
623	258	29.925	33.320	30.263	31.842	30.094	29.808	14031.809	703.342	104.679	737.879	97.333	0.898	0.940	0.883	0.991	0.807	0.953	0.047	0.930	0.730	3.77244778912427469E18	0.320	0.000	2813.368	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.052	0.950	2951.516	1.010	0.000	0.000
608	254	30.403	34.139	30.214	32.699	31.850	29.047	14714.124	725.962	107.252	763.806	99.095	0.891	0.930	0.864	0.912	0.793	0.950	0.050	0.924	0.735	2.63524977309186714E18	0.360	0.000	2903.847	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.082	0.924	3055.224	1.097	0.000	0.000
