Id,Img Id,Da,Dp,FWidth,FLength,ELength,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Aspect Ratio,CHull Surface Area,Ellipticity,Fiber Length,Fiber Width,Flow,Flow Class
1051,161,70.246,82.605,65.606,86.058,77.261,65.118,181491.62,3875.507,259.512,4045.033,235.151,0.85,0.816,0.666,0.843,0.723,0.958,0.042,0.906,0.686,3916528213447000064,0.29,0,15502.027,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.312,0.762,16180.132,1.186,78.473,49.386,18.363333333333333,1
2059,215,86.68,106.792,65.59,111.497,118.199,66.004,341005.437,5901.082,335.496,6437.314,302.008,0.812,0.777,0.604,0.558,0.659,0.917,0.083,0.9,0.807,3644091282567830016,0.269,0,23604.33,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.7,0.588,25749.257,1.791,114.752,51.424,18.363333333333333,1
2453,240,70.745,86.355,65.585,87.776,83.491,65.787,185388.343,3930.783,271.293,4430.982,248.737,0.819,0.806,0.65,0.788,0.671,0.887,0.113,0.917,0.683,2635249223352820224,0.25,0,15723.132,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.338,0.747,17723.929,1.269,91.086,43.155,18.363333333333333,1
1611,189,64.844,75.036,65.458,74.563,69.93,61.117,142758.794,3302.373,235.732,3609.841,218.168,0.864,0.87,0.756,0.874,0.747,0.915,0.085,0.925,0.677,2818006755216039936,0.257,0,13209.491,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.139,0.878,14439.363,1.144,66.64,49.556,18.363333333333333,1
3816,332,67.721,85.287,65.45,83.86,80.502,60.699,162616.277,3601.915,267.936,4049.791,236.134,0.794,0.808,0.652,0.754,0.63,0.889,0.111,0.881,0.656,3662677496948199936,0.29,0,14407.662,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.281,0.78,16199.166,1.326,94.191,38.24,18.363333333333333,1
3711,314,67.384,93.704,65.387,80.212,73.991,61.656,160204.121,3566.207,294.379,3864.82,225.454,0.719,0.84,0.706,0.833,0.517,0.923,0.077,0.766,0.68,3644336953769730048,0.327,0,14264.829,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.227,0.815,15459.279,1.2,114.741,31.081,18.363333333333333,1
2990,268,64.478,86.487,65.378,84.771,78.47,60.876,140354.088,3265.183,271.705,3950.042,236.727,0.746,0.761,0.579,0.776,0.556,0.827,0.173,0.871,0.589,3662316226692579840,0.306,0,13060.731,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.297,0.771,15800.169,1.289,102.572,31.833,18.363333333333333,1
2813,260,66.332,78.266,65.37,75.925,68.881,66.588,152816.737,3455.716,245.88,3683.136,226.314,0.848,0.874,0.763,0.967,0.718,0.938,0.062,0.92,0.696,3785949713361869824,0.256,0,13822.864,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.161,0.861,14732.544,1.034,75.333,45.873,18.363333333333333,1
2606,248,67.653,70.626,65.289,75.749,70.937,65.24,162128.88,3594.714,221.879,3662.253,218.754,0.958,0.893,0.798,0.92,0.918,0.982,0.018,0.986,0.727,2653299295707310080,0.22,0,14378.857,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.16,0.862,14649.013,1.087,0,0,18.363333333333333,1
587,138,68.476,73.534,65.283,77.376,72.418,65.289,168118.205,3682.708,231.015,3818.62,222.378,0.931,0.885,0.783,0.902,0.867,0.964,0.036,0.963,0.729,2637500961925179904,0.217,0,14730.832,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.185,0.844,15274.479,1.109,0,0,18.363333333333333,1
2508,243,64.581,78.006,65.141,68.3,65.281,63.965,141029.039,3275.643,245.062,3468.878,209.92,0.828,0.946,0.894,0.98,0.685,0.944,0.056,0.857,0.736,2761631486935090176,0.292,0,13102.571,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.048,0.954,13875.511,1.021,79.773,41.062,18.363333333333333,1
3880,342,67.265,76.599,65.103,81.205,73.792,62.244,159354.315,3553.585,240.643,3715.931,222.864,0.878,0.828,0.686,0.844,0.771,0.956,0.044,0.926,0.672,3662069938239909888,0.272,0,14214.341,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.247,0.802,14863.725,1.186,0,0,18.363333333333333,1
111,102,91.886,131.75,65.092,143.229,143.812,61.653,406199.966,6631.077,413.904,7392.386,348.036,0.697,0.642,0.412,0.429,0.486,0.897,0.103,0.841,0.711,3916839504074050048,0.306,0,26524.309,Accept,Reject,Reject,Reject,Reject,Reject,Reject,2.2,0.454,29569.546,2.333,165.509,40.065,18.363333333333333,1
425,130,68.387,74.062,65.043,73.815,72.623,64.752,167464.814,3673.16,232.672,3787.313,220.863,0.923,0.926,0.858,0.892,0.853,0.97,0.03,0.949,0.765,3644055470993939968,0.272,0,14692.641,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.135,0.881,15149.253,1.122,0,0,18.363333333333333,1
3737,317,67.219,74.278,64.898,74.471,70.149,65.063,159029.408,3548.753,233.353,3663.371,218.443,0.905,0.903,0.815,0.928,0.819,0.969,0.031,0.936,0.734,2635249161979369984,0.266,0,14195.012,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.148,0.871,14653.485,1.078,0,0,18.363333333333333,1
2400,236,71.501,88.457,64.883,95.033,92.406,57.778,191400.535,4015.315,277.895,4586.177,253.515,0.808,0.752,0.566,0.625,0.653,0.876,0.124,0.912,0.651,3788457787467380224,0.309,0,16061.259,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.465,0.683,18344.71,1.599,95.245,42.158,18.363333333333333,1
3146,275,65.514,109.375,64.545,103.491,106.361,56.595,147229.81,3370.968,343.611,4531.799,269.067,0.599,0.633,0.401,0.532,0.359,0.744,0.256,0.783,0.505,3644055531411030016,0.382,0,13483.872,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.603,0.624,18127.196,1.879,147.803,22.807,18.363333333333333,1
2561,246,66.477,85.453,64.404,76.063,70.013,64.443,153818.627,3470.804,268.459,3752.158,223.175,0.778,0.874,0.764,0.92,0.605,0.925,0.075,0.831,0.709,3916805214265260032,0.296,0,13883.216,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.181,0.847,15008.63,1.086,96.861,35.833,18.363333333333333,1
3551,298,80.326,97.608,64.396,112.677,116.054,59.348,271368.784,5067.543,306.646,5540.136,290.205,0.823,0.713,0.508,0.511,0.677,0.915,0.085,0.946,0.698,2637581374622410240,0.208,0,20270.171,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.75,0.572,22160.545,1.955,102.521,49.429,18.363333333333333,1
2927,264,71.799,100.2,64.386,89.386,87.894,59.15,193803.295,4048.849,314.787,4383.784,243.381,0.717,0.803,0.645,0.673,0.513,0.924,0.076,0.773,0.704,2637293722104809984,0.318,0,16195.396,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.388,0.72,17535.135,1.486,123.096,32.892,18.363333333333333,1
1352,175,61.259,80.93,64.339,78.456,75.002,60.084,120370.156,2947.384,254.25,3514.469,227.39,0.757,0.781,0.61,0.801,0.573,0.839,0.161,0.894,0.584,3806546394573329920,0.292,0,11789.534,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.219,0.82,14057.875,1.248,94.448,31.207,18.363333333333333,1
2130,220,65.084,80.652,64.315,70.655,67.452,62.847,144353.909,3326.926,253.376,3534.289,212.574,0.807,0.921,0.849,0.932,0.651,0.941,0.059,0.839,0.732,3786169554632820224,0.319,0,13307.705,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.099,0.91,14137.154,1.073,86.687,38.378,18.363333333333333,1
2592,247,68.98,77.669,64.27,80.995,76.137,63.381,171856.554,3737.102,244.006,3939.387,228.454,0.888,0.852,0.725,0.832,0.789,0.949,0.051,0.936,0.718,2653264110242599936,0.273,0,14948.406,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.26,0.794,15757.55,1.201,0,0,18.363333333333333,1
319,125,66.284,72.277,64.181,73.006,69.936,62.996,152481.19,3450.656,227.065,3548.239,213.502,0.917,0.908,0.824,0.901,0.841,0.972,0.028,0.94,0.736,2635284416429960192,0.257,0,13802.622,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.137,0.879,14192.956,1.11,0,0,18.363333333333333,1
3649,308,70.574,80.972,64.175,84.742,85.245,60.81,184050.831,3911.854,254.382,4173.664,238.705,0.872,0.833,0.694,0.713,0.76,0.937,0.063,0.938,0.719,3770472997386860032,0.243,0,15647.415,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.32,0.757,16694.658,1.402,0,0,18.363333333333333,1
2935,265,66.298,82.589,64.067,77.925,75.163,61.948,152581.272,3452.166,259.46,3762.928,225.672,0.803,0.851,0.724,0.824,0.644,0.917,0.083,0.87,0.691,3934895143275039744,0.267,0,13808.664,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.216,0.822,15051.71,1.213,89.925,38.389,18.363333333333333,1
1205,167,64.357,71.534,64.043,67.257,65.057,63.719,139567.836,3252.977,224.732,3361.968,206.812,0.9,0.957,0.916,0.979,0.809,0.968,0.032,0.92,0.755,2635249154477859840,0.297,0,13011.909,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.05,0.952,13447.871,1.021,0,0,18.363333333333333,1
1660,192,66.119,70.854,63.992,69.626,68.457,63.922,151347.092,3433.525,222.593,3509.736,211.414,0.933,0.95,0.902,0.934,0.871,0.978,0.022,0.95,0.771,3788452760188989952,0.253,0,13734.099,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.088,0.919,14038.944,1.071,0,0,18.363333333333333,1
1001,158,73.111,92.057,63.87,96.071,94.378,59.216,204621.627,4198.155,289.204,4549.445,254.38,0.794,0.761,0.579,0.627,0.631,0.923,0.077,0.88,0.684,3662105671276760064,0.3,0,16792.621,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.504,0.665,18197.78,1.594,101.847,41.22,18.363333333333333,1
3635,306,65.998,70.647,63.853,75.129,69.559,63.182,150519.042,3420.99,221.943,3505.935,214.21,0.934,0.878,0.772,0.908,0.873,0.976,0.024,0.965,0.713,2635249154477859840,0.242,0,13683.959,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.177,0.85,14023.742,1.101,0,0,18.363333333333333,1
1237,169,67.948,76.117,63.691,78.872,75.442,61.674,164257.389,3626.108,239.128,3755.619,222.959,0.893,0.861,0.742,0.817,0.797,0.966,0.034,0.932,0.722,2635284337893649920,0.262,0,14504.432,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.238,0.808,15022.476,1.223,0,0,18.363333333333333,1
2137,220,70.187,80.128,63.615,82.118,80.884,63.169,181037.799,3869.043,251.729,4090.631,237.45,0.876,0.855,0.731,0.781,0.767,0.946,0.054,0.943,0.741,2779399533351249920,0.288,0,15476.174,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.291,0.775,16362.524,1.28,0,0,18.363333333333333,1
701,143,76.953,93.897,63.609,110.06,106.913,60.325,238605.241,4650.977,294.986,5091.643,279.541,0.82,0.699,0.489,0.564,0.672,0.913,0.087,0.948,0.664,3786209828562939904,0.205,0,18603.906,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.73,0.578,20366.572,1.772,99.165,46.901,18.363333333333333,1
737,145,69.133,81.218,63.587,86.567,80.828,60.893,173002.124,3753.69,255.154,4095.855,236.578,0.851,0.799,0.638,0.753,0.725,0.916,0.084,0.927,0.682,2637575867243239936,0.2,0,15014.761,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.361,0.735,16383.419,1.327,78.485,47.827,18.363333333333333,1
588,138,72.902,83.156,63.566,95.65,90.099,59.882,202872.214,4174.193,261.243,4349.357,247.072,0.877,0.762,0.581,0.665,0.769,0.96,0.04,0.946,0.687,2635324007457600000,0.244,0,16696.772,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.505,0.665,17397.43,1.505,0,0,18.363333333333333,1
1288,171,75.753,102.252,63.528,98.039,94.619,61.587,227613.188,4507.016,321.234,4884.083,260.871,0.741,0.773,0.597,0.651,0.549,0.923,0.077,0.812,0.724,3790180712656770048,0.329,0,18028.064,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.543,0.648,19536.333,1.536,122.285,36.857,18.363333333333333,1
65,93,71.081,89.641,63.5,100.507,91.738,61.144,188045.992,3968.261,281.616,4498.232,259.414,0.793,0.707,0.5,0.667,0.629,0.882,0.118,0.921,0.622,2635249153538109952,0.289,0,15873.043,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.583,0.632,17992.929,1.5,99.265,39.977,18.363333333333333,1
2389,236,64.288,70.897,63.427,67.585,66.268,62.453,139119.504,3246.007,222.729,3350.39,206.535,0.907,0.951,0.905,0.942,0.822,0.969,0.031,0.927,0.757,2651016151220460032,0.233,0,12984.03,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.066,0.938,13401.56,1.061,0,0,18.363333333333333,1
1230,169,67.145,71.893,63.354,72.925,71.142,63.685,158500.397,3540.879,225.86,3616.455,216.098,0.934,0.921,0.848,0.895,0.872,0.979,0.021,0.957,0.766,2651293777891270144,0.243,0,14163.515,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.151,0.869,14465.818,1.117,0,0,18.363333333333333,1
3094,272,64.668,76.817,63.295,70.158,68.122,61.484,141603.1,3284.526,241.328,3439.858,209.626,0.842,0.922,0.85,0.903,0.709,0.955,0.045,0.869,0.74,3772411976461720064,0.277,0,13138.102,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.108,0.902,13759.433,1.108,75.557,43.471,18.363333333333333,1
238,118,69.004,85.041,63.207,81.648,79.34,61.372,172036.765,3739.713,267.164,3975.556,230.429,0.811,0.845,0.714,0.774,0.658,0.941,0.059,0.863,0.725,2635249214473180160,0.292,0,14958.852,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.292,0.774,15902.223,1.293,90.825,41.175,18.363333333333333,1
2237,226,70.038,81.305,63.205,89.108,82.771,60.95,179889.936,3852.672,255.426,4068.31,237.38,0.861,0.786,0.618,0.736,0.742,0.947,0.053,0.929,0.684,2635535114766569984,0.287,0,15410.69,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.41,0.709,16273.24,1.358,73.23,52.611,18.363333333333333,1
3228,279,65.748,78.166,63.175,78.1,71.38,63.711,148818.025,3395.167,245.566,3741.794,227.779,0.841,0.842,0.709,0.893,0.708,0.907,0.093,0.928,0.688,2653339086719130112,0.272,0,13580.67,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.236,0.809,14967.177,1.12,77.556,43.777,18.363333333333333,1
483,133,67.561,91.004,63.047,90.711,84.479,58.651,161467.979,3584.939,285.897,4190.721,241.728,0.742,0.745,0.555,0.694,0.551,0.855,0.145,0.846,0.627,2779650154339870208,0.309,0,14339.755,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.439,0.695,16762.884,1.44,108.491,33.044,18.363333333333333,1
3302,283,65.053,78.804,62.989,75.078,69.405,62.23,144147.428,3323.753,247.569,3510.742,216.37,0.826,0.866,0.751,0.897,0.681,0.947,0.053,0.874,0.703,3662073786794880000,0.271,0,13295.012,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.192,0.839,14042.966,1.115,81.412,40.826,18.363333333333333,1
3939,353,66.25,76.838,62.948,73.084,69.76,63.277,152251.001,3447.182,241.393,3616.743,216.692,0.862,0.906,0.822,0.907,0.743,0.953,0.047,0.898,0.749,2635284887800260096,0.288,0,13788.729,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.161,0.861,14466.972,1.102,68.422,50.381,18.363333333333333,1
89,98,63.942,74.413,62.933,69.491,66.285,61.874,136884.776,3211.152,233.775,3366.436,207.948,0.859,0.92,0.847,0.933,0.738,0.954,0.046,0.89,0.734,2779400077875200000,0.291,0,12844.608,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.104,0.906,13465.743,1.071,67.195,47.788,18.363333333333333,1
1365,176,66.545,83.68,62.883,77.73,72.797,62.139,154292.082,3477.923,262.889,3694.831,223.019,0.795,0.856,0.733,0.854,0.632,0.941,0.059,0.848,0.712,2635535026412429824,0.282,0,13911.691,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1.236,0.809,14779.326,1.172,92.23,37.709,18.363333333333333,1
